Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
UK,,250-500 GBP,1,0,1.0,7,4,4,Business or Work,0.5766666666666667,0.0,0.42333333333333334,0.0
EU,,0-250 GBP,0,1,1.0,7,4,4,Business or Work,0.19166666666666665,0.05,0.05,0.7083333333333334
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,1,0,1.0,8,4,1,Holiday,0.0,0.0,0.75,0.25
EU,1-3 days,500-1000 GBP,1,0,1.0,4,4,2,Business or Work,0.7447943722943723,0.0,0.2552056277056277,0.0
EU,1-3 days,250-500 GBP,1,0,1.0,5,4,3,Business or Work,0.9153675625531023,0.0,0.08463243744689795,0.0
Not disclosed,4-13 days,more than 5000 GBP,2,0,1.0,6,4,4,Holiday,0.3,0.2,0.5,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,5,4,7,Holiday,0.0,0.0,0.1565463947816889,0.843453605218311
Africa,4-13 days,250-500 GBP,0,0,1.0,8,4,3,VFF,0.0,0.0,0.2,0.8
"Australia, NZ and Oceania",4-13 days,250-500 GBP,0,0,1.0,8,4,5,VFF,0.0,0.0,0.27197802197802196,0.728021978021978
Asia,3-6 months,1000-5000 GBP,2,0,1.0,6,4,3,VFF,0.4,0.1,0.4,0.1
Asia,1-3 months,1000-5000 GBP,0,0,1.0,2,4,5,Education and Other,0.0,0.1,0.8,0.1
EU,14-27 days,250-500 GBP,0,0,1.0,6,5,1,VFF,0.0,0.0,0.2518679050567595,0.7481320949432405
UK,1-3 days,0-250 GBP,0,0,1.0,7,5,4,VFF,0.0,0.0,0.0,1.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,4,5,5,Holiday,0.1,0.0,0.75,0.15
EU,1-3 days,500-1000 GBP,1,1,1.0,5,5,3,Business or Work,0.6115149064305678,0.0,0.38848509356943217,0.0
"Australia, NZ and Oceania",1-3 days,250-500 GBP,0,0,1.0,6,5,3,VFF,0.13333333333333333,0.0,0.4666666666666666,0.39999999999999997
Asia,14-27 days,1000-5000 GBP,0,0,1.0,8,5,5,Holiday,0.0,0.0,0.0,1.0
Africa,4-13 days,0-250 GBP,0,0,1.0,2,5,1,VFF,0.0,0.008333333333333333,0.1,0.8916666666666668
UK,4-13 days,1000-5000 GBP,1,1,1.0,6,5,1,VFF,0.5583333333333333,0.0,0.0,0.4416666666666666
Asia,4-13 days,1000-5000 GBP,2,0,1.0,4,5,6,Holiday,0.0,0.0,0.9,0.1
Africa,1-3 days,1000-5000 GBP,1,1,1.0,6,5,4,Business or Work,0.67,0.0,0.13,0.2
EU,4-13 days,0-250 GBP,1,0,1.0,5,5,2,Business or Work,0.7824350649350649,0.0,0.08548701298701297,0.13207792207792207
EU,1-3 days,1000-5000 GBP,1,1,1.0,6,5,3,Holiday,0.8447366522366522,0.0,0.11496392496392496,0.04029942279942279
North America,4-13 days,500-1000 GBP,1,1,1.0,6,5,2,Holiday,0.5553085803085802,0.0,0.3784229659229659,0.06626845376845378
EU,1-3 days,500-1000 GBP,1,0,1.0,5,5,4,Business or Work,0.924178741963922,0.0,0.0758212580360781,0.0
Asia,14-27 days,500-1000 GBP,2,1,1.0,5,5,6,VFF,0.1,0.0,0.9,0.0
North America,1-3 days,250-500 GBP,0,0,1.0,4,5,4,VFF,0.0,0.0,0.0,1.0
Asia,1-3 days,0-250 GBP,0,0,1.0,6,5,4,VFF,0.25,0.0,0.65,0.1
Asia,1-3 months,500-1000 GBP,0,0,1.0,8,5,2,VFF,0.025,0.1,0.05,0.825
North America,4-13 days,500-1000 GBP,0,1,1.0,4,5,2,Education and Other,0.06666666666666667,0.0,0.5,0.4333333333333333
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,5,2,Holiday,0.4831023143523144,0.0,0.44699758574758575,0.0699000999000999
EU,1-3 days,500-1000 GBP,1,1,1.0,5,5,4,Business or Work,0.8444306697624775,0.0,0.13586151834435584,0.01970781189316658
Asia,4-13 days,1000-5000 GBP,1,1,1.0,7,5,2,Holiday,0.4737301587301587,0.0,0.5262698412698412,0.0
"Australia, NZ and Oceania",1-3 months,1000-5000 GBP,1,1,1.0,7,5,4,Holiday,0.0,0.0,0.5,0.5
Asia,1-3 days,1000-5000 GBP,1,1,1.0,2,5,3,Holiday,0.1,0.0,0.9,0.0
"Australia, NZ and Oceania",4-13 days,0-250 GBP,0,0,1.0,7,5,5,VFF,0.02,0.0,0.1,0.8800000000000001
Africa,4-13 days,1000-5000 GBP,1,0,1.0,7,5,4,Holiday,0.3,0.0,0.5,0.2
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,5,2,Holiday,0.9128896103896104,0.0,0.0,0.08711038961038961
EU,1-3 days,0-250 GBP,1,0,1.0,4,5,4,Business or Work,0.8177657780815675,0.025487329434697854,0.11578096757044128,0.04096592491329333
EU,1-3 days,500-1000 GBP,2,0,1.0,7,5,3,Business or Work,0.6622222222222222,0.0,0.24277777777777781,0.095
South America,14-27 days,500-1000 GBP,1,0,1.0,5,5,5,Holiday,0.0,0.0,0.8,0.2
Asia,14-27 days,1000-5000 GBP,2,0,1.0,5,7,1,Business or Work,0.8,0.03333333333333333,0.16666666666666666,0.0
EU,14-27 days,500-1000 GBP,0,0,1.0,2,7,1,Holiday,0.0,0.6728787878787879,0.11929653679653678,0.20782467532467536
Not disclosed,4-13 days,1000-5000 GBP,1,0,1.0,4,7,2,Holiday,0.12525252525252525,0.0,0.8747474747474747,0.0
Africa,1-3 months,1000-5000 GBP,0,0,1.0,4,7,2,Education and Other,0.1,0.0,0.32,0.58
Not disclosed,4-13 days,1000-5000 GBP,1,1,1.0,5,7,3,Business or Work,0.6849999999999999,0.0,0.315,0.0
North America,4-13 days,500-1000 GBP,1,0,1.0,6,7,1,Holiday,0.0,0.0,0.8222222222222223,0.17777777777777776
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,1,1.0,5,7,2,Education and Other,0.9416666666666668,0.0,0.058333333333333334,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,6,7,4,VFF,0.04285714285714286,0.0,0.3178571428571429,0.6392857142857143
North America,4-13 days,0-250 GBP,0,0,1.0,5,7,4,VFF,0.0,0.0,0.15,0.85
Africa,4-13 days,1000-5000 GBP,0,1,1.0,2,7,5,VFF,0.2,0.5,0.3,0.0
EU,4-13 days,1000-5000 GBP,2,1,1.0,2,7,3,Education and Other,0.1,0.5,0.4,0.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,7,7,5,Business or Work,0.35190476190476194,0.0,0.6480952380952381,0.0
North America,4-13 days,500-1000 GBP,1,1,1.0,8,7,1,Holiday,0.5466666666666666,0.0,0.4533333333333333,0.0
Asia,,500-1000 GBP,1,0,1.0,6,7,7,Business or Work,0.4,0.0,0.2,0.4
Asia,4-13 days,500-1000 GBP,0,0,1.0,5,7,3,VFF,0.0,0.0,0.5349999999999999,0.465
Asia,4-13 days,more than 5000 GBP,1,0,1.0,6,7,4,Holiday,0.4363095238095237,0.0,0.4636904761904762,0.1
Asia,4-13 days,250-500 GBP,0,1,1.0,6,7,2,Education and Other,0.1,0.1,0.5,0.3
Asia,1-3 days,1000-5000 GBP,1,1,1.0,5,7,5,Holiday,0.3000872837173147,0.10031676785546755,0.5995959484272178,0.0
EU,4-13 days,250-500 GBP,1,0,1.0,2,7,4,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,0-250 GBP,2,0,1.0,5,7,2,Education and Other,0.0,0.1,0.9,0.0
Asia,14-27 days,500-1000 GBP,0,0,1.0,7,7,7,VFF,0.0,0.0,0.25,0.75
EU,1-3 days,500-1000 GBP,1,1,1.0,7,7,5,Business or Work,0.0375,0.07023809523809524,0.8922619047619047,0.0
Asia,14-27 days,1000-5000 GBP,0,1,1.0,6,7,7,VFF,0.0,0.0,1.0,0.0
Asia,14-27 days,500-1000 GBP,0,0,1.0,6,7,4,VFF,0.0,0.0,0.1,0.9
UK,14-27 days,500-1000 GBP,2,0,1.0,5,7,2,Education and Other,0.26666666666666666,0.0,0.2333333333333333,0.5
UK,4-13 days,1000-5000 GBP,0,0,1.0,6,7,5,VFF,0.0,0.0,0.13761904761904759,0.8623809523809524
UK,14-27 days,more than 5000 GBP,0,0,1.0,4,7,1,Holiday,0.0,0.0,0.1,0.9
"Australia, NZ and Oceania",4-13 days,0-250 GBP,0,0,1.0,6,7,2,VFF,0.0,0.02,0.0,0.9800000000000001
Asia,14-27 days,0-250 GBP,0,0,1.0,7,7,1,VFF,0.025,0.0,0.0,0.975
EU,4-13 days,500-1000 GBP,1,1,1.0,6,7,4,Holiday,0.396499023851965,0.0,0.603500976148035,0.0
Asia,4-13 days,500-1000 GBP,1,0,1.0,5,7,3,Education and Other,0.5844047619047619,0.0,0.4155952380952381,0.0
North America,14-27 days,1000-5000 GBP,1,1,1.0,8,7,1,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,7,7,1,Holiday,0.0,0.0,1.0,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,2,1,1.0,5,7,1,Holiday,0.0,0.0,0.64,0.36
Asia,4-13 days,1000-5000 GBP,2,1,1.0,5,7,4,Holiday,0.1,0.2,0.7,0.0
North America,4-13 days,500-1000 GBP,0,0,1.0,5,2,7,Holiday,0.0,0.0,0.0,1.0
North America,4-13 days,1000-5000 GBP,2,0,1.0,7,2,4,Holiday,0.0,0.02727272727272727,0.4836363636363636,0.4890909090909091
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,0,1.0,4,2,3,Holiday,0.4666666666666666,0.0,0.5333333333333333,0.0
EU,1-3 days,0-250 GBP,2,1,1.0,5,2,7,VFF,0.0,0.0,0.8438888888888888,0.15611111111111112
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,2,3,Business or Work,0.4647385620915033,0.09015873015873015,0.4014425770308123,0.04366013071895425
North America,4-13 days,500-1000 GBP,1,1,1.0,7,2,7,Holiday,0.0,0.0,0.3,0.7
North America,4-13 days,500-1000 GBP,1,1,1.0,5,2,6,Holiday,0.27154318117233717,0.0,0.6552735797876463,0.07318323904001653
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,2,5,Holiday,0.40055555555555555,0.0,0.5155555555555555,0.08388888888888887
UK,14-27 days,0-250 GBP,0,0,1.0,6,2,3,VFF,0.0,0.0,0.11833333333333333,0.8816666666666666
North America,14-27 days,1000-5000 GBP,0,1,1.0,5,2,5,VFF,0.25,0.0,0.2,0.55
UK,4-13 days,250-500 GBP,0,0,1.0,5,2,6,Holiday,0.0,0.0,0.617449494949495,0.38255050505050503
Asia,4-13 days,1000-5000 GBP,1,1,1.0,7,2,5,Holiday,0.15833333333333333,0.24499999999999997,0.21833333333333335,0.3783333333333333
North America,4-13 days,0-250 GBP,1,0,1.0,2,2,4,Holiday,0.25,0.0,0.6,0.15
North America,4-13 days,0-250 GBP,0,0,1.0,7,2,5,Holiday,0.0,0.0,0.2733333333333333,0.7266666666666667
North America,4-13 days,0-250 GBP,0,0,1.0,4,2,6,VFF,0.0,0.0,0.0,1.0
North America,4-13 days,1000-5000 GBP,0,0,1.0,6,2,7,VFF,0.0,0.0,0.35,0.6499999999999999
Asia,4-13 days,more than 5000 GBP,1,0,1.0,5,2,3,Holiday,0.4,0.1,0.29999999999999993,0.2
UK,1-3 days,250-500 GBP,1,0,1.0,7,2,7,VFF,0.0,0.0,0.7925000000000001,0.20749999999999996
North America,4-13 days,1000-5000 GBP,2,0,1.0,7,2,4,Holiday,0.0,0.02727272727272727,0.4836363636363636,0.4890909090909091
North America,1-3 days,500-1000 GBP,1,1,1.0,6,2,7,Holiday,0.14039682539682538,0.0,0.7450396825396826,0.11456349206349208
EU,1-3 days,1000-5000 GBP,1,1,1.0,6,2,1,Holiday,0.2816666666666666,0.0,0.7183333333333333,0.0
South America,3-6 months,more than 5000 GBP,0,0,1.0,4,2,4,Education and Other,0.1,0.2,0.3,0.4
North America,4-13 days,0-250 GBP,0,0,1.0,2,2,3,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,500-1000 GBP,0,0,1.0,5,2,6,VFF,0.16989177489177487,0.0,0.2124242424242424,0.6176839826839827
Asia,4-13 days,500-1000 GBP,1,0,1.0,5,2,2,Holiday,0.3083333333333333,0.0,0.6916666666666667,0.0
North America,4-13 days,250-500 GBP,1,0,1.0,6,2,6,Business or Work,0.38666666666666666,0.0,0.6133333333333334,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,2,5,Holiday,0.11000000000000001,0.0,0.8899999999999999,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,7,2,5,Holiday,0.06,0.02,0.9099999999999999,0.01
North America,14-27 days,0-250 GBP,1,0,1.0,8,2,6,Holiday,0.1,0.13333333333333333,0.5166666666666667,0.25
North America,4-13 days,500-1000 GBP,1,0,1.0,4,2,5,Holiday,0.24277777777777776,0.0,0.4427777777777779,0.31444444444444447
North America,14-27 days,250-500 GBP,2,1,1.0,6,2,2,Holiday,0.1,0.0,0.8,0.1
Asia,14-27 days,0-250 GBP,1,1,1.0,5,2,6,Business or Work,0.41,0.0,0.39,0.2
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,0,1,1.0,7,2,3,Holiday,0.0,0.0,0.55,0.45
North America,4-13 days,250-500 GBP,2,1,1.0,4,2,6,VFF,0.05333333333333333,0.0,0.725,0.22166666666666668
Non-EU Europe,4-13 days,0-250 GBP,1,0,1.0,4,2,4,Business or Work,0.325,0.0,0.575,0.1
Asia,1-3 days,0-250 GBP,1,1,1.0,5,2,7,Holiday,0.02222222222222222,0.007142857142857143,0.26706349206349206,0.7035714285714285
Asia,4-13 days,1000-5000 GBP,2,0,1.0,2,2,6,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,2,1,Holiday,0.3333333333333333,0.0,0.6666666666666666,0.0
Asia,1-3 days,250-500 GBP,1,1,1.0,5,2,1,Holiday,0.0,0.0,1.0,0.0
South America,4-13 days,0-250 GBP,2,0,1.0,2,3,1,VFF,0.0,0.2,0.4,0.4
North America,1-3 days,250-500 GBP,1,1,1.0,5,3,1,Business or Work,0.2833333333333333,0.0,0.7166666666666666,0.0
Asia,4-13 days,250-500 GBP,0,0,1.0,7,3,7,Education and Other,0.0,0.0,0.1,0.9
"Australia, NZ and Oceania",4-13 days,250-500 GBP,0,1,1.0,7,3,7,VFF,0.0,0.0,0.1,0.9
EU,4-13 days,250-500 GBP,0,1,1.0,8,3,6,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,1000-5000 GBP,1,1,1.0,4,3,6,Business or Work,0.31666666666666665,0.0,0.6833333333333333,0.0
Not disclosed,14-27 days,1000-5000 GBP,1,0,1.0,5,3,3,Holiday,0.2,0.0,0.8,0.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,6,3,1,Holiday,0.06190476190476191,0.0,0.43809523809523815,0.5
North America,1-3 days,500-1000 GBP,2,0,1.0,2,3,1,Holiday,0.0,0.0,0.3,0.7
Asia,4-13 days,0-250 GBP,0,0,1.0,5,3,7,VFF,0.0,0.5,0.0,0.5
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,6,3,6,VFF,0.0,0.0,0.03333333333333333,0.9666666666666666
UK,14-27 days,1000-5000 GBP,1,0,1.0,6,3,7,Holiday,0.2,0.23333333333333334,0.1,0.4666666666666666
EU,4-13 days,500-1000 GBP,0,0,1.0,5,3,7,VFF,0.0,0.0,0.601388888888889,0.3986111111111111
Asia,14-27 days,1000-5000 GBP,0,0,1.0,5,3,6,Holiday,0.0,0.1,0.4666666666666667,0.4333333333333333
Asia,4-13 days,500-1000 GBP,1,0,1.0,4,3,4,Holiday,0.4,0.0,0.575,0.025
Africa,4-13 days,1000-5000 GBP,2,1,1.0,6,3,4,VFF,0.4,0.0,0.6,0.0
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,2,1,1.0,5,3,4,Holiday,0.2733333333333333,0.0,0.7266666666666667,0.0
Asia,14-27 days,500-1000 GBP,0,0,1.0,4,3,7,Holiday,0.0,0.0,0.3,0.7
South America,4-13 days,1000-5000 GBP,1,0,1.0,2,3,6,Holiday,0.0,0.0,0.9,0.1
Asia,14-27 days,1000-5000 GBP,1,1,1.0,4,3,4,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,1000-5000 GBP,0,0,1.0,4,3,6,Holiday,0.1419047619047619,0.0,0.5478571428571428,0.3102380952380952
EU,1-3 days,250-500 GBP,1,1,1.0,6,3,1,Holiday,0.046141654447501526,0.0,0.8489050255092234,0.10495332004327507
UK,4-13 days,1000-5000 GBP,1,0,1.0,5,3,6,Business or Work,0.5,0.0,0.5,0.0
UK,4-13 days,,1,1,1.0,5,3,1,Business or Work,0.2,0.0,0.1,0.7
UK,4-13 days,1000-5000 GBP,0,0,1.0,7,3,6,VFF,0.08095238095238096,0.0,0.0,0.919047619047619
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1,0,1.0,7,3,6,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,3,7,Business or Work,0.0,0.0,0.7778571428571429,0.22214285714285714
North America,4-13 days,500-1000 GBP,1,1,1.0,5,3,7,Holiday,0.09885281385281383,0.0,0.9011471861471861,0.0
UK,4-13 days,250-500 GBP,0,0,1.0,5,3,7,VFF,0.11821428571428572,0.0,0.1757142857142857,0.7060714285714286
EU,,500-1000 GBP,1,1,1.0,4,3,3,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,2,3,3,Holiday,0.0,0.0,0.9,0.1
EU,,0-250 GBP,1,0,1.0,5,3,3,Business or Work,0.9587301828426158,0.007276003790347693,0.03399381336703647,0.0
Africa,,250-500 GBP,0,0,1.0,5,3,3,VFF,0.7,0.0,0.0,0.3
Africa,4-13 days,1000-5000 GBP,1,0,1.0,8,3,3,Holiday,0.0,0.0,0.9,0.1
Asia,14-27 days,more than 5000 GBP,1,1,1.0,5,3,4,Holiday,0.1,0.03333333333333333,0.7,0.16666666666666666
North America,14-27 days,1000-5000 GBP,1,0,1.0,8,3,5,VFF,0.2,0.0,0.8,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,6,1,Business or Work,0.5025552143934496,0.0,0.49744478560655037,0.0
Africa,4-13 days,500-1000 GBP,2,1,1.0,6,6,3,VFF,0.2,0.0,0.6,0.2
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,6,7,Holiday,0.5752777777777778,0.0,0.42472222222222217,0.0
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,0,1,1.0,7,6,6,VFF,0.0,0.1,0.2,0.7
Asia,4-13 days,more than 5000 GBP,2,1,1.0,6,6,4,Holiday,0.2,0.0,0.4,0.4
UK,4-13 days,0-250 GBP,0,1,1.0,5,6,7,VFF,0.0,0.0,0.41666666666666663,0.5833333333333333
EU,4-13 days,1000-5000 GBP,1,1,1.0,4,6,3,Business or Work,0.5428571428571428,0.0,0.45714285714285713,0.0
North America,4-13 days,250-500 GBP,2,1,1.0,4,6,4,Holiday,0.175,0.0,0.825,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,4,6,2,Business or Work,0.8499339453649798,0.0,0.15006605463502015,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,8,6,2,Business or Work,0.45,0.0,0.5499999999999999,0.0
UK,4-13 days,1000-5000 GBP,0,1,1.0,5,6,2,Holiday,0.0,0.0,0.1,0.9
North America,4-13 days,500-1000 GBP,2,1,1.0,4,6,5,Holiday,0.10833333333333332,0.0,0.8916666666666666,0.0
North America,1-3 days,0-250 GBP,2,1,1.0,6,6,5,Holiday,0.2333333333333333,0.0,0.1,0.6666666666666667
EU,4-13 days,500-1000 GBP,1,0,1.0,5,6,3,Business or Work,0.9497535402038508,0.0,0.05024645979614924,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,2,6,1,Holiday,0.475,0.0,0.49642857142857144,0.02857142857142857
North America,1-3 months,1000-5000 GBP,2,0,1.0,7,6,5,Holiday,0.5,0.0,0.24,0.26
North America,4-13 days,500-1000 GBP,1,0,1.0,7,6,3,Holiday,0.6276935482817836,0.0,0.18957790575437633,0.18272854596384008
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,6,2,Business or Work,0.6139285714285715,0.0,0.3860714285714285,0.0
North America,4-13 days,250-500 GBP,1,1,1.0,6,6,3,Business or Work,0.20273809523809522,0.14527777777777778,0.651984126984127,0.0
North America,4-13 days,0-250 GBP,0,1,1.0,8,6,7,Holiday,0.1,0.0,0.10666666666666666,0.7933333333333333
North America,1-3 days,250-500 GBP,1,0,1.0,7,6,4,Business or Work,0.9,0.0,0.1,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,4,6,5,Holiday,0.31166666666666665,0.0,0.6883333333333332,0.0
North America,1-3 days,500-1000 GBP,1,1,1.0,6,6,5,Holiday,0.7523232323232324,0.1383838383838384,0.10929292929292929,0.0
North America,1-3 days,0-250 GBP,1,1,1.0,6,6,5,Holiday,0.6561111111111111,0.0,0.3438888888888889,0.0
Asia,14-27 days,500-1000 GBP,1,0,1.0,2,6,7,Holiday,0.0,0.0,0.9,0.1
North America,4-13 days,500-1000 GBP,2,1,1.0,5,6,7,Holiday,0.1,0.0,0.9,0.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,2,0,1.0,8,6,7,VFF,0.2,0.0,0.7,0.1
North America,4-13 days,500-1000 GBP,0,0,1.0,4,6,7,VFF,0.0,0.49142857142857144,0.0,0.5085714285714286
Asia,1-3 days,0-250 GBP,1,1,1.0,5,6,5,Holiday,0.2672187715665976,0.014251207729468598,0.7185300207039338,0.0
Asia,4-13 days,500-1000 GBP,2,0,1.0,2,6,5,Holiday,0.0,0.1,0.7,0.2
North America,4-13 days,1000-5000 GBP,1,0,1.0,6,6,2,Holiday,0.9348015873015874,0.0,0.0651984126984127,0.0
North America,,1000-5000 GBP,1,0,1.0,5,6,6,Business or Work,0.9,0.0,0.1,0.0
North America,4-13 days,1000-5000 GBP,2,1,1.0,7,6,1,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,1000-5000 GBP,2,1,1.0,4,6,3,VFF,0.3,0.0,0.7,0.0
Asia,1-3 days,250-500 GBP,0,1,1.0,5,6,5,VFF,0.0,0.0,0.7,0.3
EU,4-13 days,1000-5000 GBP,1,0,1.0,7,6,2,Holiday,0.33666666666666667,0.0,0.6633333333333333,0.0
UK,4-13 days,0-250 GBP,0,0,1.0,2,2,5,VFF,0.0,0.0,0.4833333333333333,0.5166666666666667
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,2,7,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,6,2,6,Education and Other,0.0,0.0,0.13676571700565507,0.8632342829943449
EU,1-3 days,0-250 GBP,0,0,1.0,4,2,7,VFF,0.00885492768496092,0.0,0.17094166807594754,0.8202034042390915
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,0,0,1.0,6,2,7,VFF,0.0,0.0,0.38333333333333336,0.6166666666666667
Africa,4-13 days,500-1000 GBP,0,0,1.0,6,2,1,Holiday,0.0,0.0,0.6,0.4
"Australia, NZ and Oceania",4-13 days,0-250 GBP,0,0,1.0,6,2,6,Holiday,0.0,0.0,0.0,1.0
UK,4-13 days,1000-5000 GBP,0,0,1.0,4,2,6,Holiday,0.06666666666666667,0.0,0.10197802197802197,0.8313553113553113
Asia,14-27 days,1000-5000 GBP,0,1,1.0,2,2,7,Education and Other,0.05,0.25,0.3,0.4
UK,4-13 days,500-1000 GBP,0,0,1.0,5,2,1,VFF,0.0,0.0,0.16666666666666666,0.8333333333333333
EU,14-27 days,1000-5000 GBP,0,0,1.0,2,2,4,Education and Other,0.0,0.9,0.1,0.0
Asia,14-27 days,1000-5000 GBP,2,0,1.0,6,2,6,Holiday,0.1,0.2,0.3,0.4
Not disclosed,4-13 days,1000-5000 GBP,1,0,1.0,5,2,5,Business or Work,0.30333333333333334,0.0,0.6966666666666667,0.0
EU,4-13 days,250-500 GBP,2,1,1.0,7,2,6,Holiday,0.0,0.0,0.9026610644257703,0.09733893557422969
Asia,4-13 days,1000-5000 GBP,2,0,1.0,5,2,1,VFF,0.1,0.1,0.8,0.0
Asia,4-13 days,more than 5000 GBP,1,1,1.0,6,2,4,Education and Other,0.5,0.0,0.5,0.0
Africa,4-13 days,500-1000 GBP,2,0,1.0,6,2,6,Holiday,0.25,0.0,0.55,0.2
South America,4-13 days,1000-5000 GBP,1,1,1.0,6,2,5,Holiday,0.32166666666666666,0.0,0.6533333333333334,0.025
Asia,1-3 months,1000-5000 GBP,0,0,1.0,4,2,2,Business or Work,0.2,0.15,0.4,0.25
North America,4-13 days,1000-5000 GBP,2,0,1.0,4,2,1,Business or Work,0.25,0.05,0.6,0.1
UK,4-13 days,1000-5000 GBP,1,0,1.0,6,2,5,Holiday,0.13333333333333333,0.0,0.2,0.6666666666666666
"Australia, NZ and Oceania",1-3 days,1000-5000 GBP,0,0,1.0,2,2,7,Holiday,0.10785714285714285,0.0,0.6003571428571429,0.29178571428571426
EU,1-3 days,0-250 GBP,1,0,1.0,4,2,7,Holiday,0.0,0.0,0.6311313627191872,0.36886863728081276
EU,4-13 days,500-1000 GBP,0,0,1.0,4,2,4,Holiday,0.0650865800865801,0.2681240981240981,0.48967532467532465,0.1771139971139971
EU,4-13 days,0-250 GBP,0,0,1.0,5,2,3,VFF,0.09626068376068377,0.09683949220713928,0.15987556561085975,0.6470242584213173
Asia,4-13 days,1000-5000 GBP,0,0,1.0,7,2,5,VFF,0.0,0.0,0.45,0.55
North America,14-27 days,250-500 GBP,0,0,1.0,8,2,3,VFF,0.0,0.0,0.05714285714285714,0.9428571428571428
EU,4-13 days,1000-5000 GBP,1,1,1.0,5,2,6,Holiday,0.1425,0.0,0.7444444444444444,0.11305555555555555
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,2,4,Holiday,0.0,0.0,1.0,0.0
UK,4-13 days,250-500 GBP,0,0,1.0,6,2,1,Holiday,0.0,0.0,0.0,1.0
EU,1-3 days,0-250 GBP,1,1,1.0,2,2,1,Holiday,0.0,0.1540079365079365,0.8459920634920636,0.0
UK,14-27 days,500-1000 GBP,0,1,1.0,5,2,1,VFF,0.0,0.0,0.1,0.9
North America,1-3 days,500-1000 GBP,1,1,1.0,4,2,7,Business or Work,0.33690476190476193,0.0,0.4321428571428571,0.23095238095238096
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,0,1.0,6,2,6,VFF,0.061764705882352944,0.0,0.6705392156862745,0.26769607843137255
North America,4-13 days,500-1000 GBP,0,0,1.0,4,2,3,Holiday,0.0,0.0,0.0,1.0
UK,4-13 days,500-1000 GBP,1,0,1.0,7,2,4,VFF,0.225,0.0,0.4,0.375
EU,1-3 days,0-250 GBP,1,0,1.0,5,2,7,Holiday,0.14859118094412213,0.0,0.6825665524194936,0.1688422666363843
Asia,4-13 days,1000-5000 GBP,2,0,1.0,5,2,4,Holiday,0.3,0.0,0.7,0.0
Asia,14-27 days,500-1000 GBP,1,0,1.0,2,2,2,Holiday,0.0,0.0,0.9,0.1
Asia,4-13 days,500-1000 GBP,0,0,1.0,6,2,2,VFF,0.025,0.0,0.1,0.875
Not disclosed,4-13 days,more than 5000 GBP,2,1,1.0,4,5,3,VFF,0.2,0.0,0.8,0.0
North America,4-13 days,500-1000 GBP,0,0,1.0,8,5,1,VFF,0.0,0.0,0.8666666666666668,0.13333333333333333
